solID,perfQ,#changes,pas,reliability
8,-0.14831674808634787,9.02,14.0,-0.4331054205627286
24,-0.14831674808634787,9.02,14.0,-0.4331054205627286
52,-0.08236315926758299,5.4,15.0,-0.8420368415909902
59,-0.14831674808634787,9.02,14.0,-0.4331054205627286
61,-0.14118668867934772,6.63,15.0,-0.8420368415909902
65,-0.23322533704666107,14.76,16.0,-0.6286208505627285
276,-0.14831674808634787,9.02,14.0,-0.4331054205627286
277,-0.23322533704666107,14.76,16.0,-0.6286208505627285
281,-0.14831674808634787,9.02,14.0,-0.4331054205627286
284,-0.14831674808634787,9.02,14.0,-0.4331054205627286
285,-0.14118668867934772,6.63,15.0,-0.8420368415909902
288,-0.14831674808634787,9.02,14.0,-0.4331054205627286
294,-0.08236315926758299,5.4,15.0,-0.8420368415909902
360,-0.14831674808634787,9.02,14.0,-0.4331054205627286
361,-0.14831674808634787,9.02,14.0,-0.4331054205627286
508,-0.12572053160250904,6.47,15.0,-0.7835278415909903
