solID,perfQ,#changes,pas,reliability
4364,-0.20705628167543455,8.61,15.0,-0.4403882205627285
4430,-0.1714621681779351,4.26,15.0,-0.7886953206077715
4616,-0.20705628167543455,8.61,15.0,-0.4403882205627285
5254,-0.20705628167543455,8.61,15.0,-0.4403882205627285
5279,-0.1714621681779351,4.26,15.0,-0.7886953206077715
5282,-0.20705628167543455,8.61,15.0,-0.4403882205627285
5421,-0.11764705882352941,8.36,13.0,-0.7901958966077715
5437,-0.1714621681779351,4.26,15.0,-0.7886953206077715
5482,-0.1714621681779351,4.26,15.0,-0.7886953206077715
6014,-0.1385952911467569,4.26,14.0,-0.7886953206077715
6019,-0.1714621681779351,4.26,15.0,-0.7886953206077715
6023,-0.1714621681779351,4.26,15.0,-0.7886953206077715
6154,-0.20705628167543455,8.61,15.0,-0.4403882205627285
6158,-0.20705628167543455,8.61,15.0,-0.4403882205627285
6159,-0.20705628167543455,8.61,15.0,-0.4403882205627285
6162,-0.1714621681779351,4.26,15.0,-0.7886953206077715
