solID,perfQ,#changes,pas,reliability
2285,-0.15053555265283117,5.9,13.0,-0.7901363756077715
2527,-0.17647058823529413,4.83,15.0,-0.7086863500450429
3742,-0.17647058823529413,4.83,15.0,-0.7086863500450429
3744,-0.17647058823529413,4.83,15.0,-0.7086863500450429
3748,-0.197294212658752,4.26,14.0,-0.5790642900450429
3755,-0.197294212658752,4.26,14.0,-0.5790642900450429
3773,-0.15053555265283117,5.9,13.0,-0.7901363756077715
3785,-0.17647058823529413,4.83,15.0,-0.7086863500450429
3788,-0.15053555265283117,5.9,13.0,-0.7901363756077715
3817,-0.15053555265283117,5.9,13.0,-0.7901363756077715
3820,-0.17647058823529413,4.83,15.0,-0.7086863500450429
3821,-0.15053555265283117,5.9,13.0,-0.7901363756077715
3824,-0.15053555265283117,5.9,13.0,-0.7901363756077715
3878,-0.17647058823529413,4.83,15.0,-0.7086863500450429
3879,-0.17647058823529413,4.83,15.0,-0.7086863500450429
3883,-0.11764705882352941,6.470000000000001,14.0,-0.8477543206077714
