solID,perfQ,#changes,reliability
4959,-0.13058451435626156,8.93,-0.8425498815909902
4978,-0.13058451435626156,8.93,-0.8425498815909902
4979,-0.13058451435626156,8.93,-0.8425498815909902
5051,-0.08188120673520674,7.13,-0.7841346015909902
5338,-0.13058451435626156,8.93,-0.8425498815909902
5339,-0.13058451435626156,8.93,-0.8425498815909902
5342,-0.13058451435626156,8.93,-0.8425498815909902
5343,-0.08188120673520674,7.13,-0.7841346015909902
5344,-0.13058451435626156,8.93,-0.8425498815909902
5395,-0.13058451435626156,8.93,-0.8425498815909902
5955,-0.13058451435626156,8.93,-0.8425498815909902
5956,-0.17647058823529413,5.4,-0.5497603900000001
5958,-0.17151827823694527,5.4,-0.5791549600000001
5959,-0.13058451435626156,8.93,-0.8425498815909902
5962,-0.13058451435626156,8.93,-0.8425498815909902
5963,-0.08188120673520674,7.13,-0.7841346015909902
