solID,perfQ,#changes,pas,reliability
9,-0.18726959105552737,3.69,16.0,-0.9937136666155787
16,-0.18726959105552737,3.69,16.0,-0.9937136666155787
26,-0.18726959105552737,3.69,16.0,-0.9937136666155787
47,-0.18726959105552737,3.69,16.0,-0.9937136666155787
54,-0.18726959105552737,3.69,16.0,-0.9937136666155787
66,-0.18726959105552737,3.69,16.0,-0.9937136666155787
67,-0.18726959105552737,3.69,16.0,-0.9937136666155787
78,-0.18726959105552737,3.69,16.0,-0.9937136666155787
79,-0.18726959105552737,3.69,16.0,-0.9937136666155787
108,-0.18726959105552737,3.69,16.0,-0.9937136666155787
479,-0.18630518306781402,6.15,21.0,-0.9954189475455514
1242,-0.21528321538653425,4.92,13.0,-0.9937136666155787
1243,-0.18726959105552737,3.69,16.0,-0.9937136666155787
1247,-0.18726959105552737,3.69,16.0,-0.9937136666155787
1250,-0.18726959105552737,3.69,16.0,-0.9937136666155787
2064,-0.18726959105552737,3.69,16.0,-0.9937136666155787
