solID,perfQ,#changes,pas,reliability
2063,-0.1014779396838276,4.92,13.0,-0.944361193874541
2080,-0.24153932994113417,11.07,10.0,-0.9942645667644233
2090,-0.1014779396838276,4.92,13.0,-0.944361193874541
2095,-0.2556923127720698,8.610000000000001,9.0,-0.9938514478309154
2106,-0.1014779396838276,4.92,13.0,-0.944361193874541
2107,-0.1014779396838276,4.92,13.0,-0.944361193874541
2118,-0.24153932994113417,11.07,10.0,-0.9942645667644233
2119,-0.1014779396838276,4.92,13.0,-0.944361193874541
2122,-0.2556923127720698,8.610000000000001,9.0,-0.9938514478309154
2207,-0.1014779396838276,4.92,13.0,-0.944361193874541
2210,-0.17162760382530845,11.07,10.0,-0.9946684867644233
2382,-0.1014779396838276,4.92,13.0,-0.944361193874541
2383,-0.1014779396838276,4.92,13.0,-0.944361193874541
2384,-0.24153932994113417,11.07,10.0,-0.9942645667644233
2388,-0.1014779396838276,4.92,13.0,-0.944361193874541
2402,-0.1014779396838276,4.92,13.0,-0.944361193874541
