solID,perfQ,#changes,reliability
425,-0.17432895453267713,6.15,-0.8800745479953235
446,-0.0841123742137726,4.92,-0.8799383066707979
565,-0.17432895453267713,6.15,-0.8800745479953235
595,-0.17432895453267713,6.15,-0.8800745479953235
597,-0.17432895453267713,6.15,-0.8800745479953235
618,-0.0841123742137726,4.92,-0.8799383066707979
1296,-0.17432895453267713,6.15,-0.8800745479953235
1367,-0.17432895453267713,6.15,-0.8800745479953235
1374,-0.17432895453267713,6.15,-0.8800745479953235
1378,-0.0841123742137726,4.92,-0.8799383066707979
1384,-0.17432895453267713,6.15,-0.8800745479953235
1388,-0.17432895453267713,6.15,-0.8800745479953235
1424,-0.1148793844188724,6.15,-0.921457188821934
1473,-0.1148793844188724,6.15,-0.921457188821934
1476,-0.17432895453267713,6.15,-0.8800745479953235
2312,-0.17432895453267713,6.15,-0.8800745479953235
