solID,perfQ,#changes,pas,reliability
343,-0.07130148569072696,2.46,17.0,-0.7652206581204413
378,-0.07130148569072696,2.46,17.0,-0.7652206581204413
383,-0.07130148569072696,2.46,17.0,-0.7652206581204413
394,-0.16667952200215527,3.69,17.0,-0.7652206581204413
397,-0.07130148569072696,2.46,17.0,-0.7652206581204413
401,-0.18168891954362706,3.69,16.0,-0.7633607736142636
408,-0.14659477499662493,3.69,16.0,-0.7652206581204413
417,-0.16667952200215527,3.69,17.0,-0.7652206581204413
432,-0.07130148569072696,2.46,17.0,-0.7652206581204413
436,-0.14659477499662493,3.69,16.0,-0.7652206581204413
449,-0.18168891954362706,3.69,16.0,-0.7633607736142636
452,-0.07130148569072696,2.46,17.0,-0.7652206581204413
462,-0.07130148569072696,2.46,17.0,-0.7652206581204413
463,-0.07130148569072696,2.46,17.0,-0.7652206581204413
466,-0.16667952200215527,3.69,17.0,-0.7652206581204413
490,-0.07130148569072696,2.46,17.0,-0.7652206581204413
