solID,perfQ,#changes,pas,reliability
2,-0.058305560385885684,6.15,20.0,-0.8813476847642772
27,-0.058305560385885684,6.15,20.0,-0.8813476847642772
34,-0.058305560385885684,6.15,20.0,-0.8813476847642772
46,-0.058305560385885684,6.15,20.0,-0.8813476847642772
55,-0.058305560385885684,6.15,20.0,-0.8813476847642772
59,-0.058305560385885684,6.15,20.0,-0.8813476847642772
60,-0.058305560385885684,6.15,20.0,-0.8813476847642772
70,-0.30748618306460823,4.92,16.0,-0.7626036324265925
71,-0.04866661547274652,4.92,16.0,-0.8247004921711202
74,-0.058305560385885684,6.15,20.0,-0.8813476847642772
79,-0.058305560385885684,6.15,20.0,-0.8813476847642772
127,-0.058305560385885684,6.15,20.0,-0.8813476847642772
134,-0.058305560385885684,6.15,20.0,-0.8813476847642772
135,-0.30748618306460823,4.92,16.0,-0.7626036324265925
574,-0.058305560385885684,6.15,20.0,-0.8813476847642772
998,-0.058305560385885684,6.15,20.0,-0.8813476847642772
