solID,perfQ,#changes,pas,reliability
3009,-0.061476743731741314,5.4,15.0,-0.8924548023973966
3122,-0.19383989045078168,7.0,11.0,-0.8481894928609344
3192,-0.19383989045078168,7.0,11.0,-0.8481894928609344
3271,-0.19383989045078168,7.0,11.0,-0.8481894928609344
3280,-0.19383989045078168,7.0,11.0,-0.8481894928609344
3580,-0.2860339713875512,8.23,10.0,-0.8481894928609344
3587,-0.061476743731741314,5.4,15.0,-0.8924548023973966
3591,-0.19383989045078168,7.0,11.0,-0.8481894928609344
3595,-0.2245232963055718,8.8,11.0,-0.8737547414239429
3598,-0.19383989045078168,7.0,11.0,-0.8481894928609344
3599,-0.19383989045078168,7.0,11.0,-0.8481894928609344
3606,-0.061476743731741314,5.4,15.0,-0.8924548023973966
3802,-0.2245232963055718,8.8,11.0,-0.8737547414239429
3811,-0.061476743731741314,5.4,15.0,-0.8924548023973966
3814,-0.061476743731741314,5.4,15.0,-0.8924548023973966
5216,-0.19383989045078168,7.0,11.0,-0.8481894928609344
