solID,perfQ,#changes,reliability
13,-0.2579851869127284,5.8999999999999995,-0.4233889105627285
56,0.04913656573306036,2.87,-0.6598443186077715
60,-0.2579851869127284,5.8999999999999995,-0.4233889105627285
73,-0.2579851869127284,5.8999999999999995,-0.4233889105627285
84,-0.2579851869127284,5.8999999999999995,-0.4233889105627285
93,-0.2579851869127284,5.8999999999999995,-0.4233889105627285
107,-0.12761135869625964,7.04,-0.8457502217853018
132,-0.2579851869127284,5.8999999999999995,-0.4233889105627285
133,0.04913656573306036,2.87,-0.6598443186077715
136,0.04913656573306036,2.87,-0.6598443186077715
857,0.04913656573306036,2.87,-0.6598443186077715
861,-0.2579851869127284,5.8999999999999995,-0.4233889105627285
864,0.04913656573306036,2.87,-0.6598443186077715
869,0.04913656573306036,2.87,-0.6598443186077715
1116,-0.2579851869127284,5.8999999999999995,-0.4233889105627285
1117,0.04913656573306036,2.87,-0.6598443186077715
