solID,perfQ,#changes,reliability
2040,-0.1755376278628591,7.13,-0.22561639000000006
2067,-0.1755376278628591,7.13,-0.22561639000000006
2068,-0.1755376278628591,7.13,-0.22561639000000006
2077,-0.1755376278628591,7.13,-0.22561639000000006
2081,-0.1755376278628591,7.13,-0.22561639000000006
2082,-0.1755376278628591,7.13,-0.22561639000000006
2086,-0.1755376278628591,7.13,-0.22561639000000006
2090,-0.1755376278628591,7.13,-0.22561639000000006
2095,-0.1755376278628591,7.13,-0.22561639000000006
2096,-0.1755376278628591,7.13,-0.22561639000000006
2108,-0.1755376278628591,7.13,-0.22561639000000006
2138,-0.1755376278628591,7.13,-0.22561639000000006
2139,-0.1755376278628591,7.13,-0.22561639000000006
2515,-0.1755376278628591,7.13,-0.22561639000000006
2546,-0.1755376278628591,7.13,-0.22561639000000006
2572,-0.1755376278628591,7.13,-0.22561639000000006
