solID,perfQ,#changes,pas,reliability
2981,-0.18257270135483705,3.69,3.0,-0.8197736121358957
3365,-0.18257270135483705,3.69,3.0,-0.8197736121358957
3388,-0.18257270135483705,3.69,3.0,-0.8197736121358957
3417,-0.18257270135483705,3.69,3.0,-0.8197736121358957
3590,-0.18257270135483705,3.69,3.0,-0.8197736121358957
3594,-0.18458095722505652,4.92,3.0,-0.9386961876709503
3598,-0.18257270135483705,3.69,3.0,-0.8197736121358957
3605,-0.18257270135483705,3.69,3.0,-0.8197736121358957
3608,-0.18257270135483705,3.69,3.0,-0.8197736121358957
3610,-0.18257270135483705,3.69,3.0,-0.8197736121358957
3611,-0.18257270135483705,3.69,3.0,-0.8197736121358957
4684,-0.18257270135483705,3.69,3.0,-0.8197736121358957
4688,-0.18257270135483705,3.69,3.0,-0.8197736121358957
4689,-0.18257270135483705,3.69,3.0,-0.8197736121358957
4693,-0.25399246717848556,4.92,3.0,-0.8199179024153584
4696,-0.18257270135483705,3.69,3.0,-0.8197736121358957
