solID,perfQ,#changes,reliability
2950,-0.2712252420349679,6.47,-0.6513229105627285
2957,-0.13904389590006128,5.8999999999999995,-0.7902555606077715
2971,-0.2712252420349679,6.47,-0.6513229105627285
2981,-0.13904389590006128,5.8999999999999995,-0.7902555606077715
2992,-0.2712252420349679,6.47,-0.6513229105627285
2998,-0.2712252420349679,6.47,-0.6513229105627285
2999,-0.2712252420349679,6.47,-0.6513229105627285
3003,-0.2712252420349679,6.47,-0.6513229105627285
3009,-0.2712252420349679,6.47,-0.6513229105627285
3025,-0.2712252420349679,6.47,-0.6513229105627285
3028,-0.2712252420349679,6.47,-0.6513229105627285
3033,-0.2712252420349679,6.47,-0.6513229105627285
3036,-0.2712252420349679,6.47,-0.6513229105627285
3040,-0.2712252420349679,6.47,-0.6513229105627285
3145,-0.13904389590006128,5.8999999999999995,-0.7902555606077715
3965,-0.13904389590006128,5.8999999999999995,-0.7902555606077715
