solID,perfQ,#changes,reliability
119,-0.0,0.0,-0.763086383988203
332,-0.0,0.0,-0.763086383988203
348,-0.0,0.0,-0.763086383988203
352,-0.0,0.0,-0.763086383988203
362,-0.0,0.0,-0.763086383988203
734,-0.0,0.0,-0.763086383988203
735,-0.0,0.0,-0.763086383988203
742,-0.0,0.0,-0.763086383988203
743,-0.0,0.0,-0.763086383988203
946,-0.0,0.0,-0.763086383988203
950,-0.31295640927749,11.48,-0.7625740007681874
954,-0.0,0.0,-0.763086383988203
1030,-0.0,0.0,-0.763086383988203
1059,-0.0,0.0,-0.763086383988203
1062,-0.0,0.0,-0.763086383988203
1294,-0.0,0.0,-0.763086383988203
