solID,perfQ,#changes,pas,reliability
3,-0.13389603709199424,4.92,3.0,-0.8907921543611497
5,-0.26490694097430556,6.15,3.0,-0.763086383988203
53,-0.26490694097430556,6.15,3.0,-0.763086383988203
56,-0.26490694097430556,6.15,3.0,-0.763086383988203
60,-0.26490694097430556,6.15,3.0,-0.763086383988203
76,-0.13389603709199424,4.92,3.0,-0.8907921543611497
78,-0.05062457543287885,2.46,3.0,-0.6891697140678776
588,-0.26490694097430556,6.15,3.0,-0.763086383988203
600,-0.242249635359508,4.92,3.0,-0.8806248295315445
601,-0.26490694097430556,6.15,3.0,-0.763086383988203
609,-0.26490694097430556,6.15,3.0,-0.763086383988203
613,-0.26490694097430556,6.15,3.0,-0.763086383988203
614,-0.26490694097430556,6.15,3.0,-0.763086383988203
2231,-0.13389603709199424,4.92,3.0,-0.8907921543611497
2238,-0.06101419728689356,3.69,3.0,-0.7875247092678775
2242,-0.242249635359508,4.92,3.0,-0.8806248295315445
