solID,perfQ,#changes,pas,reliability
5908,-0.15706625663519766,4.26,15.0,-0.8207117855586359
5938,-0.15706625663519766,4.26,15.0,-0.8207117855586359
5942,-0.15706625663519766,4.26,15.0,-0.8207117855586359
6019,-0.15706625663519766,4.26,15.0,-0.8207117855586359
6029,-0.15706625663519766,4.26,15.0,-0.8207117855586359
6155,-0.17154047639589962,6.06,14.0,-0.8465844148351568
6163,-0.15706625663519766,4.26,15.0,-0.8207117855586359
6170,-0.15706625663519766,4.26,15.0,-0.8207117855586359
6183,-0.15706625663519766,4.26,15.0,-0.8207117855586359
6186,-0.15706625663519766,4.26,15.0,-0.8207117855586359
6200,-0.15706625663519766,4.26,15.0,-0.8207117855586359
6214,-0.15706625663519766,4.26,15.0,-0.8207117855586359
6270,-0.17154047639589962,6.06,14.0,-0.8465844148351568
6466,-0.31571167760404767,5.8999999999999995,15.0,-0.8208697005381769
6467,-0.15706625663519766,4.26,15.0,-0.8207117855586359
6474,-0.15706625663519766,4.26,15.0,-0.8207117855586359
