solID,perfQ,#changes,pas,reliability
4142,-0.3165374629659568,6.15,3.0,-0.763086383988203
4144,-0.18842142150063745,3.69,3.0,-0.054051774842836076
4151,-0.18842142150063745,3.69,3.0,-0.054051774842836076
4155,-0.18842142150063745,3.69,3.0,-0.054051774842836076
4182,-0.30618602986939997,4.92,3.0,-0.8357672991055075
4202,-0.18842142150063745,3.69,3.0,-0.054051774842836076
4210,-0.3165374629659568,6.15,3.0,-0.763086383988203
4235,-0.11995083771069212,3.69,3.0,-0.8135232400334224
4250,-0.18842142150063745,3.69,3.0,-0.054051774842836076
4255,-0.18842142150063745,3.69,3.0,-0.054051774842836076
4256,-0.18842142150063745,3.69,3.0,-0.054051774842836076
4257,-0.3165374629659568,6.15,3.0,-0.763086383988203
4261,-0.3165374629659568,6.15,3.0,-0.763086383988203
4458,-0.3165374629659568,6.15,3.0,-0.763086383988203
4463,-0.18842142150063745,3.69,3.0,-0.054051774842836076
4752,-0.18842142150063745,3.69,3.0,-0.054051774842836076
