solID,perfQ,#changes,reliability
5,-0.2476704540177315,6.999999999999999,-0.9978330772340688
8,-0.27671311383225317,8.36,-0.9530112758766889
22,-0.16047870229677638,4.54,-0.9978330772340688
50,-0.27671311383225317,8.36,-0.9530112758766889
69,-0.2476704540177315,6.999999999999999,-0.9978330772340688
71,-0.27671311383225317,8.36,-0.9530112758766889
74,-0.16047870229677638,4.54,-0.9978330772340688
75,-0.27671311383225317,8.36,-0.9530112758766889
104,-0.2476704540177315,6.999999999999999,-0.9978330772340688
105,-0.07197189305085704,2.87,-0.9933984933229715
109,-0.16047870229677638,4.54,-0.9978330772340688
116,-0.27671311383225317,8.36,-0.9530112758766889
117,-0.2476704540177315,6.999999999999999,-0.9978330772340688
120,-0.16047870229677638,4.54,-0.9978330772340688
854,-0.27671311383225317,8.36,-0.9530112758766889
855,-0.2476704540177315,6.999999999999999,-0.9978330772340688
