solID,perfQ,#changes,pas,reliability
6060,-0.1311057620849803,6.47,17.0,-0.9977787636745409
6061,-0.25992852980692815,7.0,17.0,-0.9949041935064937
6071,-0.07100019542577188,2.87,17.0,-0.992178958069835
6080,-0.178403071801318,7.569999999999999,12.0,-0.9436579553790762
6082,-0.1311057620849803,6.47,17.0,-0.9977787636745409
6094,-0.25992852980692815,7.0,17.0,-0.9949041935064937
6095,-0.178403071801318,7.569999999999999,12.0,-0.9436579553790762
6104,-0.1311057620849803,6.47,17.0,-0.9977787636745409
6108,-0.178403071801318,7.569999999999999,12.0,-0.9436579553790762
6140,-0.178403071801318,7.569999999999999,12.0,-0.9436579553790762
6142,-0.1311057620849803,6.47,17.0,-0.9977787636745409
6728,-0.25992852980692815,7.0,17.0,-0.9949041935064937
6730,-0.178403071801318,7.569999999999999,12.0,-0.9436579553790762
6733,-0.09834606152686097,4.67,16.0,-0.9946877799744503
6737,-0.178403071801318,7.569999999999999,12.0,-0.9436579553790762
6744,-0.178403071801318,7.569999999999999,12.0,-0.9436579553790762
