solID,perfQ,#changes,reliability
2922,-0.17531774365492028,4.67,-0.9942645685407012
2947,-0.17531774365492028,4.67,-0.9942645685407012
2961,-0.17531774365492028,4.67,-0.9942645685407012
2967,-0.17531774365492028,4.67,-0.9942645685407012
2970,-0.17531774365492028,4.67,-0.9942645685407012
3022,-0.17531774365492028,4.67,-0.9942645685407012
3083,-0.17531774365492028,4.67,-0.9942645685407012
3087,-0.17531774365492028,4.67,-0.9942645685407012
3104,-0.17531774365492028,4.67,-0.9942645685407012
3108,-0.17531774365492028,4.67,-0.9942645685407012
3112,-0.17531774365492028,4.67,-0.9942645685407012
3140,-0.17531774365492028,4.67,-0.9942645685407012
3141,-0.17531774365492028,4.67,-0.9942645685407012
3144,-0.17531774365492028,4.67,-0.9942645685407012
3257,-0.17531774365492028,4.67,-0.9942645685407012
3260,-0.17531774365492028,4.67,-0.9942645685407012
