solID,perfQ,#changes,pas,reliability
4101,-0.10990454364542894,5.24,17.0,-0.8032105550480114
4129,-0.10990454364542894,5.24,17.0,-0.8032105550480114
4162,-0.20772998258109143,11.39,16.0,-0.8349308853561119
4285,-0.20772998258109143,11.39,16.0,-0.8349308853561119
4297,-0.20772998258109143,11.39,16.0,-0.8349308853561119
4317,-0.20772998258109143,11.39,16.0,-0.8349308853561119
4381,-0.20772998258109143,11.39,16.0,-0.8349308853561119
5044,-0.20772998258109143,11.39,16.0,-0.8349308853561119
5049,-0.20772998258109143,11.39,16.0,-0.8349308853561119
5363,-0.20772998258109143,11.39,16.0,-0.8349308853561119
5367,-0.3317552485918841,7.699999999999999,17.0,-0.8273632752381234
5386,-0.20772998258109143,11.39,16.0,-0.8349308853561119
5387,-0.20772998258109143,11.39,16.0,-0.8349308853561119
5390,-0.20772998258109143,11.39,16.0,-0.8349308853561119
5391,-0.20772998258109143,11.39,16.0,-0.8349308853561119
5392,-0.20772998258109143,11.39,16.0,-0.8349308853561119
