solID,perfQ,#changes,pas,reliability
16,-0.10324389941008998,4.83,16.0,-0.5406585316503796
300,-0.10324389941008998,4.83,16.0,-0.5406585316503796
319,-0.11189693006723712,5.9,8.0,-0.4798424667078777
344,-0.10324389941008998,4.83,16.0,-0.5406585316503796
454,-0.10324389941008998,4.83,16.0,-0.5406585316503796
571,-0.10324389941008998,4.83,16.0,-0.5406585316503796
574,-0.3891180956262606,7.789999999999999,13.0,-0.7632442989677439
578,-0.10324389941008998,4.83,16.0,-0.5406585316503796
581,-0.10324389941008998,4.83,16.0,-0.5406585316503796
827,-0.3891180956262606,7.789999999999999,13.0,-0.7632442989677439
1090,-0.10324389941008998,4.83,16.0,-0.5406585316503796
1098,-0.10324389941008998,4.83,16.0,-0.5406585316503796
1099,-0.10324389941008998,4.83,16.0,-0.5406585316503796
1106,-0.3891180956262606,7.789999999999999,13.0,-0.7632442989677439
1110,-0.3891180956262606,7.789999999999999,13.0,-0.7632442989677439
1111,-0.2653475369059883,7.130000000000001,10.0,-0.7669780600145782
