solID,perfQ,#changes,reliability
4239,-0.24283512852483807,5.33,-0.9950219167644233
4358,-0.07268842501317696,2.87,-0.9956114448894233
4544,-0.14944314820192256,5.33,-0.9956114448894233
4557,-0.07268842501317696,2.87,-0.9956114448894233
4563,-0.07268842501317696,2.87,-0.9956114448894233
4846,-0.07268842501317696,2.87,-0.9956114448894233
5080,-0.14944314820192256,5.33,-0.9956114448894233
5081,-0.07268842501317696,2.87,-0.9956114448894233
5084,-0.14944314820192256,5.33,-0.9956114448894233
5085,-0.28943272460078695,8.040000000000001,-0.99357482935767
5088,-0.07268842501317696,2.87,-0.9956114448894233
5092,-0.07268842501317696,2.87,-0.9956114448894233
5096,-0.07268842501317696,2.87,-0.9956114448894233
5100,-0.055445748289590965,5.8999999999999995,-0.9958639668327637
5101,-0.07268842501317696,2.87,-0.9956114448894233
5105,-0.14944314820192256,5.33,-0.9956114448894233
