solID,perfQ,#changes,pas,reliability
4849,-0.24876046674561209,11.07,16.0,-0.9955535694944745
5025,-0.05048595017275849,3.69,15.0,-0.9965082894944746
5036,-0.24876046674561209,11.07,16.0,-0.9955535694944745
5040,-0.24876046674561209,11.07,16.0,-0.9955535694944745
5048,-0.053898662268151105,3.69,15.0,-0.9962468177702051
5051,-0.24876046674561209,11.07,16.0,-0.9955535694944745
5056,-0.24876046674561209,11.07,16.0,-0.9955535694944745
5058,-0.05048595017275849,3.69,15.0,-0.9965082894944746
5071,-0.24876046674561209,11.07,16.0,-0.9955535694944745
5075,-0.24876046674561209,11.07,16.0,-0.9955535694944745
5079,-0.24876046674561209,11.07,16.0,-0.9955535694944745
5081,-0.053898662268151105,3.69,15.0,-0.9962468177702051
5136,-0.1918229711919452,11.07,16.0,-0.9978139461972974
5166,-0.24876046674561209,11.07,16.0,-0.9955535694944745
5167,-0.24876046674561209,11.07,16.0,-0.9955535694944745
6100,-0.24876046674561209,11.07,16.0,-0.9955535694944745
