solID,operation,target,to,where
4137,Move_Operation_Component,rollInReceivedOrder,GUIStore,
4137,Move_Operation_New_Component_New_Node,getTransaction,New-Component_tmymwpdmgi,New-Node_wpcygmhnqx
4137,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_tdvyuwmkit,New-Node_mbloaglarc
4137,Move_Component_New_Node,PrinterController,New-Node_hxwlpgxkpx,
0,UMLCloneNode,New-Node_ftrxzdfmkb,New-Node_ftrxzdfmkb_yvjvukbahn,
0,Move_Operation_Component,queryStockItem,Enterprise,
0,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_jikqkdjitz,New-Node_qrwfmcghpv
0,UMLCloneNode,New-Node_mhyemivass,New-Node_mhyemivass_rcfpnmrmcj,
0,UMLCloneNode,New-Node_ftrxzdfmkb,New-Node_ftrxzdfmkb_yvjvukbahn,
0,Move_Operation_Component,queryStockItem,Enterprise,
0,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_jikqkdjitz,New-Node_qrwfmcghpv
0,UMLCloneNode,New-Node_mhyemivass,New-Node_mhyemivass_rcfpnmrmcj,
0,UMLCloneNode,New-Node_ftrxzdfmkb,New-Node_ftrxzdfmkb_yvjvukbahn,
0,Move_Operation_Component,queryStockItem,Enterprise,
0,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_jikqkdjitz,New-Node_qrwfmcghpv
0,UMLCloneNode,New-Node_mhyemivass,New-Node_mhyemivass_rcfpnmrmcj,
0,UMLCloneNode,New-Node_ftrxzdfmkb,New-Node_ftrxzdfmkb_yvjvukbahn,
0,Move_Operation_Component,queryStockItem,Enterprise,
0,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_jikqkdjitz,New-Node_qrwfmcghpv
0,UMLCloneNode,New-Node_mhyemivass,New-Node_mhyemivass_rcfpnmrmcj,
0,UMLCloneNode,New-Node_ftrxzdfmkb,New-Node_ftrxzdfmkb_yvjvukbahn,
0,Move_Operation_Component,queryStockItem,Enterprise,
0,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_jikqkdjitz,New-Node_qrwfmcghpv
0,UMLCloneNode,New-Node_mhyemivass,New-Node_mhyemivass_rcfpnmrmcj,
0,UMLCloneNode,New-Node_ftrxzdfmkb,New-Node_ftrxzdfmkb_yvjvukbahn,
0,Move_Operation_Component,queryStockItem,Enterprise,
0,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_jikqkdjitz,New-Node_qrwfmcghpv
0,UMLCloneNode,New-Node_mhyemivass,New-Node_mhyemivass_rcfpnmrmcj,
0,UMLCloneNode,New-Node_ftrxzdfmkb,New-Node_ftrxzdfmkb_yvjvukbahn,
0,Move_Operation_Component,queryStockItem,Enterprise,
0,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_jikqkdjitz,New-Node_qrwfmcghpv
0,UMLCloneNode,New-Node_mhyemivass,New-Node_mhyemivass_rcfpnmrmcj,
0,UMLCloneNode,New-Node_ftrxzdfmkb,New-Node_ftrxzdfmkb_yvjvukbahn,
0,Move_Operation_Component,queryStockItem,Enterprise,
0,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_jikqkdjitz,New-Node_qrwfmcghpv
0,UMLCloneNode,New-Node_mhyemivass,New-Node_mhyemivass_rcfpnmrmcj,
0,UMLCloneNode,CashBox,CashBox_kcozjgkfzy,
