solID,operation,target,to,where
0,UMLCloneNode,container-station,container-station_ibutnpvych,
0,Move_Operation_Component,modify,Station,
0,Move_Operation_New_Component_New_Node,updateUser,New-Component_bykzanybdp,New-Node_fornbatsri
0,UMLCloneNode,container-verification,container-verification_dtrskwrapa,
0,Move_Operation_New_Component_New_Node,updateUser,New-Component_ebtbhhxbyl,New-Node_dmatfkjsqt
0,Move_Operation_New_Component_New_Node,login,New-Component_nhejskyzik,New-Node_rfnxefrnuk
0,UMLCloneNode,container-order-other,container-order-other_cxxipsujpq,
0,UMLCloneNode,container-order-other_cxxipsujpq,container-order-other_cxxipsujpq_hwwoebthpv,
0,Move_Operation_New_Component_New_Node,updateUser,New-Component_ebtbhhxbyl,New-Node_dmatfkjsqt
0,Move_Operation_New_Component_New_Node,login,New-Component_nhejskyzik,New-Node_rfnxefrnuk
0,UMLCloneNode,container-order-other,container-order-other_cxxipsujpq,
0,UMLCloneNode,container-order-other_cxxipsujpq,container-order-other_cxxipsujpq_hwwoebthpv,
0,Move_Operation_New_Component_New_Node,updateUser,New-Component_ebtbhhxbyl,New-Node_dmatfkjsqt
0,Move_Operation_New_Component_New_Node,login,New-Component_nhejskyzik,New-Node_rfnxefrnuk
0,UMLCloneNode,container-order-other,container-order-other_cxxipsujpq,
0,UMLCloneNode,container-order-other_cxxipsujpq,container-order-other_cxxipsujpq_hwwoebthpv,
0,UMLCloneNode,container-sso,container-sso_igxlxydhiq,
0,Move_Operation_New_Component_New_Node,login,New-Component_nhejskyzik,New-Node_rfnxefrnuk
0,UMLCloneNode,container-order-other,container-order-other_cxxipsujpq,
0,UMLCloneNode,container-order-other_cxxipsujpq,container-order-other_cxxipsujpq_hwwoebthpv,
0,UMLCloneNode,container-sso,container-sso_etyrytrmtz,
0,Move_Operation_New_Component_New_Node,login,New-Component_nhejskyzik,New-Node_rfnxefrnuk
0,UMLCloneNode,container-order-other,container-order-other_cxxipsujpq,
0,UMLCloneNode,container-order-other_cxxipsujpq,container-order-other_cxxipsujpq_hwwoebthpv,
0,UMLCloneNode,container-station,container-station_ibutnpvych,
0,Move_Operation_Component,modify,Station,
0,Move_Operation_New_Component_New_Node,updateUser,New-Component_bykzanybdp,New-Node_fornbatsri
0,UMLCloneNode,container-verification,container-verification_dtrskwrapa,
0,Move_Operation_New_Component_New_Node,updateUser,New-Component_ebtbhhxbyl,New-Node_dmatfkjsqt
0,Move_Operation_New_Component_New_Node,login,New-Component_nhejskyzik,New-Node_rfnxefrnuk
0,UMLCloneNode,container-order-other,container-order-other_cxxipsujpq,
0,UMLCloneNode,container-order-other_cxxipsujpq,container-order-other_cxxipsujpq_hwwoebthpv,
0,UMLCloneNode,container-station,container-station_ibutnpvych,
0,Move_Operation_Component,modify,Station,
0,Move_Operation_New_Component_New_Node,updateUser,New-Component_bykzanybdp,New-Node_fornbatsri
0,UMLCloneNode,container-verification,container-verification_dtrskwrapa,
0,UMLCloneNode,container-station,container-station_ibutnpvych,
0,Move_Operation_Component,modify,Station,
0,Move_Operation_New_Component_New_Node,updateUser,New-Component_bykzanybdp,New-Node_fornbatsri
0,UMLCloneNode,container-verification,container-verification_dtrskwrapa,
0,Move_Operation_New_Component_New_Node,updateUser,New-Component_ebtbhhxbyl,New-Node_dmatfkjsqt
0,Move_Operation_New_Component_New_Node,login,New-Component_nhejskyzik,New-Node_rfnxefrnuk
0,UMLCloneNode,container-order-other,container-order-other_cxxipsujpq,
0,UMLCloneNode,container-order-other_cxxipsujpq,container-order-other_cxxipsujpq_hwwoebthpv,
0,UMLCloneNode,container-station,container-station_ibutnpvych,
0,Move_Operation_Component,modify,Station,
0,Move_Operation_New_Component_New_Node,updateUser,New-Component_bykzanybdp,New-Node_fornbatsri
0,UMLCloneNode,container-verification,container-verification_dtrskwrapa,
0,UMLCloneNode,container-station,container-station_ibutnpvych,
0,Move_Operation_Component,modify,Station,
0,Move_Operation_New_Component_New_Node,updateUser,New-Component_bykzanybdp,New-Node_fornbatsri
0,UMLCloneNode,container-verification,container-verification_dtrskwrapa,
0,Move_Operation_New_Component_New_Node,updateUser,New-Component_ebtbhhxbyl,New-Node_dmatfkjsqt
0,Move_Operation_New_Component_New_Node,login,New-Component_nhejskyzik,New-Node_rfnxefrnuk
0,UMLCloneNode,container-order-other,container-order-other_cxxipsujpq,
0,UMLCloneNode,container-order-other_cxxipsujpq,container-order-other_cxxipsujpq_hwwoebthpv,
0,Move_Operation_New_Component_New_Node,updateUser,New-Component_ebtbhhxbyl,New-Node_dmatfkjsqt
0,Move_Operation_New_Component_New_Node,login,New-Component_nhejskyzik,New-Node_rfnxefrnuk
0,UMLCloneNode,container-order-other,container-order-other_cxxipsujpq,
0,UMLCloneNode,container-order-other_cxxipsujpq,container-order-other_cxxipsujpq_hwwoebthpv,
0,Move_Operation_New_Component_New_Node,findAll,New-Component_wrzgftdirb,New-Node_uzwqfsflqq
0,Move_Operation_Component,modify,Station,
0,Move_Operation_New_Component_New_Node,updateUser,New-Component_bykzanybdp,New-Node_fornbatsri
0,UMLCloneNode,container-verification,container-verification_dtrskwrapa,
