,solID,perfQ,#changes,pas,reliability,usecase,brf_clone,brf_moc,brf_mcnn,brf_moncnn,maxeval,probpas,moncnn,moc,clone,mcnn,action1,action2,action3,action4,target1,target2,target3,target4
1127,0.0,-0.1176461867962022,4.26,0.0,0.29279959,train-ticket,1.23,1.23,1.23,1.23,82,0.00,1.0,1.0,2.0,0.0,clone,moc,moncnn,clone,New-Node_ikmsmvsqwt,login,rebook,container-seat
134,0.0,-0.0743500884467003,3.69,0.0,0.6572941043577715,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,3.0,0.0,clone,moc,clone,clone,New-Node_vqyrzvpfqx,updateUser,New-Node_xwphaiyuyc,container-travel-plan
143,0.0,-0.0743500884467003,3.69,0.0,0.6572941043577715,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,3.0,0.0,clone,moc,clone,clone,New-Node_vqyrzvpfqx,updateUser,New-Node_xwphaiyuyc,container-travel-plan
140,0.0,-0.0588235294117647,6.720000000000001,0.0,0.7912570182077715,train-ticket,1.23,1.23,1.23,1.23,102,0.00,1.0,1.0,2.0,0.0,clone,clone,moncnn,moc,New-Node_prymnxeheu,container-admin-user,findAll,modify
214,0.0,-0.050280627914118,3.03,15.0,0.3049057168614167,train-ticket,1.23,1.23,1.23,1.23,72,0.80,1.0,1.0,2.0,0.0,clone,moc,moncnn,clone,New-Node_xkrabjjpdw,rebook,generate,New-Node_seqcordwrf
221,0.0,-0.050280627914118,3.03,15.0,0.3049057168614167,train-ticket,1.23,1.23,1.23,1.23,72,0.80,1.0,1.0,2.0,0.0,clone,moc,moncnn,clone,New-Node_xkrabjjpdw,rebook,generate,New-Node_seqcordwrf
218,0.0,-0.050280627914118,3.03,15.0,0.3049057168614167,train-ticket,1.23,1.23,1.23,1.23,72,0.80,1.0,1.0,2.0,0.0,clone,moc,moncnn,clone,New-Node_xkrabjjpdw,rebook,generate,New-Node_seqcordwrf
428,0.0,-0.0491365657330603,2.46,14.0,0.6655310388077714,train-ticket,1.23,1.23,1.23,1.23,82,0.80,0.0,1.0,3.0,0.0,clone,clone,clone,moc,New-Node_eaascamfnd,container-station,container-station_nmcsfqqney,findAll
122,0.0,-0.0491365657330603,3.69,0.0,0.6627236706077715,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,2.0,1.0,clone,clone,moc,mcnn,New-Node_lglyvggkue,continer-route-plan,findAll,New-Component_cstabrjloa
123,0.0,-0.0491365657330603,3.69,0.0,0.6627236706077715,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,2.0,1.0,clone,clone,moc,mcnn,New-Node_lglyvggkue,continer-route-plan,findAll,New-Component_cstabrjloa
116,0.0,-0.0491365657330603,3.69,0.0,0.6627236706077715,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,2.0,1.0,clone,clone,moc,mcnn,New-Node_lglyvggkue,continer-route-plan,findAll,New-Component_cstabrjloa
145,56.0,-0.0491365657330603,2.87,0.0,0.6598443186077715,train-ticket,1.23,1.64,1.45,1.80,102,0.00,0.0,1.0,2.0,1.0,mcnn,moc,clone,clone,New-Component_niweqxpqux,findAll,container-station,New-Node_qjtaoefsix
152,133.0,-0.0491365657330603,2.87,0.0,0.6598443186077715,train-ticket,1.23,1.64,1.45,1.80,102,0.00,0.0,1.0,2.0,1.0,mcnn,moc,clone,clone,New-Component_niweqxpqux,findAll,container-station,New-Node_qjtaoefsix
153,136.0,-0.0491365657330603,2.87,0.0,0.6598443186077715,train-ticket,1.23,1.64,1.45,1.80,102,0.00,0.0,1.0,2.0,1.0,mcnn,moc,clone,clone,New-Component_niweqxpqux,findAll,container-station,New-Node_qjtaoefsix
154,857.0,-0.0491365657330603,2.87,0.0,0.6598443186077715,train-ticket,1.23,1.64,1.45,1.80,102,0.00,0.0,1.0,2.0,1.0,mcnn,moc,clone,clone,New-Component_niweqxpqux,findAll,container-station,New-Node_qjtaoefsix
156,864.0,-0.0491365657330603,2.87,0.0,0.6598443186077715,train-ticket,1.23,1.64,1.45,1.80,102,0.00,0.0,1.0,2.0,1.0,mcnn,moc,clone,clone,New-Component_niweqxpqux,findAll,container-station,New-Node_qjtaoefsix
112,0.0,-0.0491365657330603,3.69,0.0,0.6627236706077715,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,2.0,1.0,clone,clone,moc,mcnn,New-Node_lglyvggkue,continer-route-plan,findAll,New-Component_cstabrjloa
157,869.0,-0.0491365657330603,2.87,0.0,0.6598443186077715,train-ticket,1.23,1.64,1.45,1.80,102,0.00,0.0,1.0,2.0,1.0,mcnn,moc,clone,clone,New-Component_niweqxpqux,findAll,container-station,New-Node_qjtaoefsix
423,0.0,-0.0491365657330603,2.46,14.0,0.6655310388077714,train-ticket,1.23,1.23,1.23,1.23,82,0.80,0.0,1.0,3.0,0.0,clone,clone,clone,moc,New-Node_eaascamfnd,container-station,container-station_nmcsfqqney,findAll
159,1117.0,-0.0491365657330603,2.87,0.0,0.6598443186077715,train-ticket,1.23,1.64,1.45,1.80,102,0.00,0.0,1.0,2.0,1.0,mcnn,moc,clone,clone,New-Component_niweqxpqux,findAll,container-station,New-Node_qjtaoefsix
13,0.0,-0.038059979906621,3.69,14.0,0.3023348505627286,train-ticket,1.23,1.23,1.23,1.23,72,0.55,1.0,0.0,3.0,0.0,clone,clone,clone,moncnn,New-Node_yeogtnmsru,container-sso,container-login,rebook
6,0.0,-0.038059979906621,3.69,14.0,0.3023348505627286,train-ticket,1.23,1.23,1.23,1.23,72,0.55,1.0,0.0,3.0,0.0,clone,clone,clone,moncnn,New-Node_yeogtnmsru,container-sso,container-login,rebook
390,0.0,-0.0259350355824629,6.06,14.0,0.4541190994000001,train-ticket,1.23,1.23,1.23,1.23,82,0.80,2.0,1.0,1.0,0.0,moc,clone,moncnn,moncnn,modify,container-login,rebook,login
394,0.0,-0.0259350355824629,6.06,14.0,0.4541190994000001,train-ticket,1.23,1.23,1.23,1.23,82,0.80,2.0,1.0,1.0,0.0,moc,clone,moncnn,moncnn,modify,container-login,rebook,login
904,0.0,-0.025616022595617,5.49,15.0,0.7915557606077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,2.0,0.0,moc,clone,clone,moncnn,updateUser,container-station,container-station,findAll
898,0.0,-0.025616022595617,5.49,15.0,0.7915557606077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,2.0,0.0,moc,clone,clone,moncnn,updateUser,container-station,container-station,findAll
31,0.0,-0.0132309323469624,9.18,14.0,0.7909815056077715,train-ticket,1.23,1.23,1.23,1.23,72,0.55,1.0,1.0,2.0,0.0,moc,clone,moncnn,clone,findAll,container-ticket-info,updateUser,container-rebook
21,0.0,-0.0132309323469624,9.18,14.0,0.7909815056077715,train-ticket,1.23,1.23,1.23,1.23,72,0.55,1.0,1.0,2.0,0.0,moc,clone,moncnn,clone,findAll,container-ticket-info,updateUser,container-rebook
879,0.0,-0.0049910030612091,9.18,16.0,0.7915557606077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,1.0,1.0,moncnn,moc,clone,mcnn,modify,updateUser,container-login,Route-plan
877,0.0,-0.0049910030612091,9.18,16.0,0.7915557606077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,1.0,1.0,moncnn,moc,clone,mcnn,modify,updateUser,container-login,Route-plan
878,0.0,-0.0049910030612091,9.18,16.0,0.7915557606077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,1.0,1.0,moncnn,moc,clone,mcnn,modify,updateUser,container-login,Route-plan
873,0.0,-0.0049910030612091,9.18,16.0,0.7915557606077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,1.0,1.0,moncnn,moc,clone,mcnn,modify,updateUser,container-login,Route-plan
868,0.0,-0.0049910030612091,9.18,16.0,0.7915557606077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,1.0,1.0,moncnn,moc,clone,mcnn,modify,updateUser,container-login,Route-plan
864,0.0,-0.0049910030612091,9.18,16.0,0.7915557606077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,1.0,1.0,moncnn,moc,clone,mcnn,modify,updateUser,container-login,Route-plan
4,0.0,-0.0038933401195762,6.72,15.0,0.7911223606077715,train-ticket,1.23,1.23,1.23,1.23,72,0.55,2.0,0.0,1.0,1.0,moncnn,moncnn,clone,mcnn,updateUser,modify,container-verification,Ticket-info
481,0.0,0.0,6.06,14.0,0.8465975606077715,train-ticket,1.23,1.23,1.23,1.23,102,0.95,2.0,1.0,1.0,0.0,moc,moncnn,clone,moncnn,findAll,findAll,container-sso,updateUser
492,0.0,0.0,6.06,14.0,0.8465975606077715,train-ticket,1.23,1.23,1.23,1.23,102,0.95,2.0,1.0,1.0,0.0,moc,moncnn,clone,moncnn,findAll,findAll,container-sso,updateUser
692,0.0,0.0,4.26,0.0,0.5280368505627285,train-ticket,1.23,1.23,1.23,1.23,72,0.00,1.0,0.0,2.0,1.0,clone,mcnn,clone,moncnn,New-Node_ijuybfbawb_wujcnpnfvx,Station,New-Node_iqwqzpfeyd,getByID
1131,0.0,0.0040036443137631,3.03,0.0,0.2892061315459471,train-ticket,1.23,1.23,1.23,1.23,82,0.00,1.0,1.0,2.0,0.0,clone,clone,moc,moncnn,New-Node_grrifvesiz,New-Node_obkenptrqo,rebook,verify
1132,0.0,0.0040036443137631,3.03,0.0,0.2892061315459471,train-ticket,1.23,1.23,1.23,1.23,82,0.00,1.0,1.0,2.0,0.0,clone,clone,moc,moncnn,New-Node_grrifvesiz,New-Node_obkenptrqo,rebook,verify
1121,0.0,0.0040036443137631,3.03,0.0,0.2892061315459471,train-ticket,1.23,1.23,1.23,1.23,82,0.00,1.0,1.0,2.0,0.0,clone,clone,moc,moncnn,New-Node_grrifvesiz,New-Node_obkenptrqo,rebook,verify
96,0.0,0.0059721087823769,3.69,0.0,0.6639234006077714,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,3.0,0.0,moc,clone,clone,clone,findAll,container-station,container-station_wwtwmzlluv,container-sso
108,0.0,0.0059721087823769,3.69,0.0,0.6639234006077714,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,3.0,0.0,moc,clone,clone,clone,findAll,container-station,container-station_wwtwmzlluv,container-sso
102,0.0,0.0059721087823769,3.69,0.0,0.6639234006077714,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,3.0,0.0,moc,clone,clone,clone,findAll,container-station,container-station_wwtwmzlluv,container-sso
109,0.0,0.0059721087823769,3.69,0.0,0.6639234006077714,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,3.0,0.0,moc,clone,clone,clone,findAll,container-station,container-station_wwtwmzlluv,container-sso
110,0.0,0.0059721087823769,3.69,0.0,0.6639234006077714,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,3.0,0.0,moc,clone,clone,clone,findAll,container-station,container-station_wwtwmzlluv,container-sso
98,0.0,0.0059721087823769,3.69,0.0,0.6639234006077714,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,3.0,0.0,moc,clone,clone,clone,findAll,container-station,container-station_wwtwmzlluv,container-sso
101,0.0,0.0059721087823769,3.69,0.0,0.6639234006077714,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,3.0,0.0,moc,clone,clone,clone,findAll,container-station,container-station_wwtwmzlluv,container-sso
111,0.0,0.0059721087823769,3.69,0.0,0.6639234006077714,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,3.0,0.0,moc,clone,clone,clone,findAll,container-station,container-station_wwtwmzlluv,container-sso
99,0.0,0.0059721087823769,3.69,0.0,0.6639234006077714,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,3.0,0.0,moc,clone,clone,clone,findAll,container-station,container-station_wwtwmzlluv,container-sso
106,0.0,0.0059721087823769,3.69,0.0,0.6639234006077714,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,3.0,0.0,moc,clone,clone,clone,findAll,container-station,container-station_wwtwmzlluv,container-sso
100,0.0,0.0059721087823769,3.69,0.0,0.6639234006077714,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,3.0,0.0,moc,clone,clone,clone,findAll,container-station,container-station_wwtwmzlluv,container-sso
103,0.0,0.0059721087823769,3.69,0.0,0.6639234006077714,train-ticket,1.23,1.23,1.23,1.23,102,0.00,0.0,1.0,3.0,0.0,moc,clone,clone,clone,findAll,container-station,container-station_wwtwmzlluv,container-sso
1149,0.0,0.00686886332259,4.26,0.0,0.5359550685627286,train-ticket,1.23,1.23,1.23,1.23,82,0.00,1.0,1.0,2.0,0.0,moc,clone,moncnn,clone,findAll,container-station,getByID,New-Node_veukkxnvvv
694,0.0,0.0096869636787043,10.41,0.0,0.7886953206077715,train-ticket,1.23,1.23,1.23,1.23,72,0.00,1.0,0.0,2.0,1.0,clone,mcnn,moncnn,clone,container-travel-plan_yesyinjcht,Admin-user,findAll,container-station
698,0.0,0.0096869636787043,10.41,0.0,0.7886953206077715,train-ticket,1.23,1.23,1.23,1.23,72,0.00,1.0,0.0,2.0,1.0,clone,mcnn,moncnn,clone,container-travel-plan_yesyinjcht,Admin-user,findAll,container-station
699,0.0,0.0096869636787043,10.41,0.0,0.7886953206077715,train-ticket,1.23,1.23,1.23,1.23,72,0.00,1.0,0.0,2.0,1.0,clone,mcnn,moncnn,clone,container-travel-plan_yesyinjcht,Admin-user,findAll,container-station
700,0.0,0.0096869636787043,10.41,0.0,0.7886953206077715,train-ticket,1.23,1.23,1.23,1.23,72,0.00,1.0,0.0,2.0,1.0,clone,mcnn,moncnn,clone,container-travel-plan_yesyinjcht,Admin-user,findAll,container-station
701,0.0,0.0096869636787043,10.41,0.0,0.7886953206077715,train-ticket,1.23,1.23,1.23,1.23,72,0.00,1.0,0.0,2.0,1.0,clone,mcnn,moncnn,clone,container-travel-plan_yesyinjcht,Admin-user,findAll,container-station
702,0.0,0.0096869636787043,10.41,0.0,0.7886953206077715,train-ticket,1.23,1.23,1.23,1.23,72,0.00,1.0,0.0,2.0,1.0,clone,mcnn,moncnn,clone,container-travel-plan_yesyinjcht,Admin-user,findAll,container-station
703,0.0,0.0096869636787043,10.41,0.0,0.7886953206077715,train-ticket,1.23,1.23,1.23,1.23,72,0.00,1.0,0.0,2.0,1.0,clone,mcnn,moncnn,clone,container-travel-plan_yesyinjcht,Admin-user,findAll,container-station
696,0.0,0.0096869636787043,10.41,0.0,0.7886953206077715,train-ticket,1.23,1.23,1.23,1.23,72,0.00,1.0,0.0,2.0,1.0,clone,mcnn,moncnn,clone,container-travel-plan_yesyinjcht,Admin-user,findAll,container-station
693,0.0,0.0096869636787043,10.41,0.0,0.7886953206077715,train-ticket,1.23,1.23,1.23,1.23,72,0.00,1.0,0.0,2.0,1.0,clone,mcnn,moncnn,clone,container-travel-plan_yesyinjcht,Admin-user,findAll,container-station
695,0.0,0.0096869636787043,10.41,0.0,0.7886953206077715,train-ticket,1.23,1.23,1.23,1.23,72,0.00,1.0,0.0,2.0,1.0,clone,mcnn,moncnn,clone,container-travel-plan_yesyinjcht,Admin-user,findAll,container-station
688,0.0,0.0096869636787043,10.41,0.0,0.7886953206077715,train-ticket,1.23,1.23,1.23,1.23,72,0.00,1.0,0.0,2.0,1.0,clone,mcnn,moncnn,clone,container-travel-plan_yesyinjcht,Admin-user,findAll,container-station
690,0.0,0.0096869636787043,10.41,0.0,0.7886953206077715,train-ticket,1.23,1.23,1.23,1.23,72,0.00,1.0,0.0,2.0,1.0,clone,mcnn,moncnn,clone,container-travel-plan_yesyinjcht,Admin-user,findAll,container-station
689,0.0,0.0096869636787043,10.41,0.0,0.7886953206077715,train-ticket,1.23,1.23,1.23,1.23,72,0.00,1.0,0.0,2.0,1.0,clone,mcnn,moncnn,clone,container-travel-plan_yesyinjcht,Admin-user,findAll,container-station
258,0.0,0.0133803323816886,3.03,15.0,0.5623174200450429,train-ticket,1.23,1.23,1.23,1.23,102,0.80,1.0,1.0,1.0,1.0,clone,moncnn,moc,mcnn,New-Node_dzhkjbhrff,modify,login,New-Component_bijzfbxhih
269,0.0,0.0133803323816886,3.03,15.0,0.5623174200450429,train-ticket,1.23,1.23,1.23,1.23,102,0.80,1.0,1.0,1.0,1.0,clone,moncnn,moc,mcnn,New-Node_dzhkjbhrff,modify,login,New-Component_bijzfbxhih
257,0.0,0.0133803323816886,3.03,15.0,0.5623174200450429,train-ticket,1.23,1.23,1.23,1.23,102,0.80,1.0,1.0,1.0,1.0,clone,moncnn,moc,mcnn,New-Node_dzhkjbhrff,modify,login,New-Component_bijzfbxhih
256,0.0,0.0133803323816886,3.03,15.0,0.5623174200450429,train-ticket,1.23,1.23,1.23,1.23,102,0.80,1.0,1.0,1.0,1.0,clone,moncnn,moc,mcnn,New-Node_dzhkjbhrff,modify,login,New-Component_bijzfbxhih
261,0.0,0.0133803323816886,3.03,15.0,0.5623174200450429,train-ticket,1.23,1.23,1.23,1.23,102,0.80,1.0,1.0,1.0,1.0,clone,moncnn,moc,mcnn,New-Node_dzhkjbhrff,modify,login,New-Component_bijzfbxhih
262,0.0,0.0133803323816886,3.03,15.0,0.5623174200450429,train-ticket,1.23,1.23,1.23,1.23,102,0.80,1.0,1.0,1.0,1.0,clone,moncnn,moc,mcnn,New-Node_dzhkjbhrff,modify,login,New-Component_bijzfbxhih
1044,0.0,0.0138526661771139,1.8,18.0,0.6533640315909902,train-ticket,1.23,1.23,1.23,1.23,102,0.55,1.0,0.0,2.0,1.0,clone,clone,moncnn,mcnn,container-login_agataayiai_zjncntthcy,container-seat_xmqhcnadeb,verify,New-Component_ybvjxrkoie
1045,0.0,0.0138526661771139,1.8,18.0,0.6533640315909902,train-ticket,1.23,1.23,1.23,1.23,102,0.55,1.0,0.0,2.0,1.0,clone,clone,moncnn,mcnn,container-login_agataayiai_zjncntthcy,container-seat_xmqhcnadeb,verify,New-Component_ybvjxrkoie
1047,0.0,0.0138526661771139,1.8,18.0,0.6533640315909902,train-ticket,1.23,1.23,1.23,1.23,102,0.55,1.0,0.0,2.0,1.0,clone,clone,moncnn,mcnn,container-login_agataayiai_zjncntthcy,container-seat_xmqhcnadeb,verify,New-Component_ybvjxrkoie
1040,0.0,0.0138526661771139,1.8,18.0,0.6533640315909902,train-ticket,1.23,1.23,1.23,1.23,102,0.55,1.0,0.0,2.0,1.0,clone,clone,moncnn,mcnn,container-login_agataayiai_zjncntthcy,container-seat_xmqhcnadeb,verify,New-Component_ybvjxrkoie
1041,0.0,0.0138526661771139,1.8,18.0,0.6533640315909902,train-ticket,1.23,1.23,1.23,1.23,102,0.55,1.0,0.0,2.0,1.0,clone,clone,moncnn,mcnn,container-login_agataayiai_zjncntthcy,container-seat_xmqhcnadeb,verify,New-Component_ybvjxrkoie
1050,0.0,0.0138526661771139,1.8,18.0,0.6533640315909902,train-ticket,1.23,1.23,1.23,1.23,102,0.55,1.0,0.0,2.0,1.0,clone,clone,moncnn,mcnn,container-login_agataayiai_zjncntthcy,container-seat_xmqhcnadeb,verify,New-Component_ybvjxrkoie
1055,0.0,0.0138526661771139,1.8,18.0,0.6533640315909902,train-ticket,1.23,1.23,1.23,1.23,102,0.55,1.0,0.0,2.0,1.0,clone,clone,moncnn,mcnn,container-login_agataayiai_zjncntthcy,container-seat_xmqhcnadeb,verify,New-Component_ybvjxrkoie
1049,0.0,0.0138526661771139,1.8,18.0,0.6533640315909902,train-ticket,1.23,1.23,1.23,1.23,102,0.55,1.0,0.0,2.0,1.0,clone,clone,moncnn,mcnn,container-login_agataayiai_zjncntthcy,container-seat_xmqhcnadeb,verify,New-Component_ybvjxrkoie
1025,0.0,0.0206423338975965,1.23,15.0,0.6604681782077715,train-ticket,1.23,1.23,1.23,1.23,102,0.55,0.0,1.0,2.0,1.0,clone,mcnn,clone,moc,New-Node_ljqbyultsz,New-Component_nakyggsgqi,New-Node_lycgadztxp,modify
1038,0.0,0.0206423338975965,1.23,15.0,0.6604681782077715,train-ticket,1.23,1.23,1.23,1.23,102,0.55,0.0,1.0,2.0,1.0,clone,mcnn,clone,moc,New-Node_ljqbyultsz,New-Component_nakyggsgqi,New-Node_lycgadztxp,modify
1028,0.0,0.0206423338975965,1.23,15.0,0.6604681782077715,train-ticket,1.23,1.23,1.23,1.23,102,0.55,0.0,1.0,2.0,1.0,clone,mcnn,clone,moc,New-Node_ljqbyultsz,New-Component_nakyggsgqi,New-Node_lycgadztxp,modify
1033,0.0,0.0206423338975965,1.23,15.0,0.6604681782077715,train-ticket,1.23,1.23,1.23,1.23,102,0.55,0.0,1.0,2.0,1.0,clone,mcnn,clone,moc,New-Node_ljqbyultsz,New-Component_nakyggsgqi,New-Node_lycgadztxp,modify
1029,0.0,0.0206423338975965,1.23,15.0,0.6604681782077715,train-ticket,1.23,1.23,1.23,1.23,102,0.55,0.0,1.0,2.0,1.0,clone,mcnn,clone,moc,New-Node_ljqbyultsz,New-Component_nakyggsgqi,New-Node_lycgadztxp,modify
1030,0.0,0.0206423338975965,1.23,15.0,0.6604681782077715,train-ticket,1.23,1.23,1.23,1.23,102,0.55,0.0,1.0,2.0,1.0,clone,mcnn,clone,moc,New-Node_ljqbyultsz,New-Component_nakyggsgqi,New-Node_lycgadztxp,modify
199,0.0,0.0208236244234578,3.69,15.0,0.6579247506077714,train-ticket,1.23,1.23,1.23,1.23,72,0.80,0.0,0.0,4.0,0.0,clone,clone,clone,clone,container-seat_vslzpbekxr,container-station,container-verification,container-sso
1122,0.0,0.0209549181562212,7.29,0.0,0.8471106006077714,train-ticket,1.23,1.23,1.23,1.23,82,0.00,2.0,0.0,1.0,1.0,moncnn,mcnn,clone,moncnn,modify,Station,container-login,findAll
1123,0.0,0.0209549181562212,7.29,0.0,0.8471106006077714,train-ticket,1.23,1.23,1.23,1.23,82,0.00,2.0,0.0,1.0,1.0,moncnn,mcnn,clone,moncnn,modify,Station,container-login,findAll
1124,0.0,0.0209549181562212,7.29,0.0,0.8471106006077714,train-ticket,1.23,1.23,1.23,1.23,82,0.00,2.0,0.0,1.0,1.0,moncnn,mcnn,clone,moncnn,modify,Station,container-login,findAll
1125,0.0,0.0209549181562212,7.29,0.0,0.8471106006077714,train-ticket,1.23,1.23,1.23,1.23,82,0.00,2.0,0.0,1.0,1.0,moncnn,mcnn,clone,moncnn,modify,Station,container-login,findAll
1126,0.0,0.0209549181562212,7.29,0.0,0.8471106006077714,train-ticket,1.23,1.23,1.23,1.23,82,0.00,2.0,0.0,1.0,1.0,moncnn,mcnn,clone,moncnn,modify,Station,container-login,findAll
1128,0.0,0.0209549181562212,7.29,0.0,0.8471106006077714,train-ticket,1.23,1.23,1.23,1.23,82,0.00,2.0,0.0,1.0,1.0,moncnn,mcnn,clone,moncnn,modify,Station,container-login,findAll
1135,0.0,0.0209549181562212,7.29,0.0,0.8471106006077714,train-ticket,1.23,1.23,1.23,1.23,82,0.00,2.0,0.0,1.0,1.0,moncnn,mcnn,clone,moncnn,modify,Station,container-login,findAll
1129,0.0,0.0209549181562212,7.29,0.0,0.8471106006077714,train-ticket,1.23,1.23,1.23,1.23,82,0.00,2.0,0.0,1.0,1.0,moncnn,mcnn,clone,moncnn,modify,Station,container-login,findAll
1134,0.0,0.0209549181562212,7.29,0.0,0.8471106006077714,train-ticket,1.23,1.23,1.23,1.23,82,0.00,2.0,0.0,1.0,1.0,moncnn,mcnn,clone,moncnn,modify,Station,container-login,findAll
1120,0.0,0.0209549181562212,7.29,0.0,0.8471106006077714,train-ticket,1.23,1.23,1.23,1.23,82,0.00,2.0,0.0,1.0,1.0,moncnn,mcnn,clone,moncnn,modify,Station,container-login,findAll
1130,0.0,0.0209549181562212,7.29,0.0,0.8471106006077714,train-ticket,1.23,1.23,1.23,1.23,82,0.00,2.0,0.0,1.0,1.0,moncnn,mcnn,clone,moncnn,modify,Station,container-login,findAll
872,0.0,0.0209771423300001,3.69,16.0,0.6636594600077715,train-ticket,1.23,1.23,1.23,1.23,82,0.55,0.0,1.0,2.0,1.0,clone,moc,clone,mcnn,container-station,modify,container-sso,New-Component_sjfvllodwy
999,0.0,0.0209827255841141,5.49,14.0,0.7895527926077714,train-ticket,1.23,1.23,1.23,1.23,72,0.95,1.0,1.0,1.0,1.0,moc,mcnn,clone,moncnn,findAll,Station,New-Node_ozbqwruanj,modify
1004,0.0,0.0209827255841141,5.49,14.0,0.7895527926077714,train-ticket,1.23,1.23,1.23,1.23,72,0.95,1.0,1.0,1.0,1.0,moc,mcnn,clone,moncnn,findAll,Station,New-Node_ozbqwruanj,modify
870,0.0,0.0209827255841141,6.63,14.0,0.768250140045043,train-ticket,1.23,1.23,1.23,1.23,82,0.55,3.0,1.0,0.0,0.0,moc,moncnn,moncnn,moncnn,modify,findAll,login,modify
871,0.0,0.0209827255841141,6.63,14.0,0.768250140045043,train-ticket,1.23,1.23,1.23,1.23,82,0.55,3.0,1.0,0.0,0.0,moc,moncnn,moncnn,moncnn,modify,findAll,login,modify
874,0.0,0.0209827255841141,6.63,14.0,0.768250140045043,train-ticket,1.23,1.23,1.23,1.23,82,0.55,3.0,1.0,0.0,0.0,moc,moncnn,moncnn,moncnn,modify,findAll,login,modify
1001,0.0,0.0209827255841141,5.49,14.0,0.7895527926077714,train-ticket,1.23,1.23,1.23,1.23,72,0.95,1.0,1.0,1.0,1.0,moc,mcnn,clone,moncnn,findAll,Station,New-Node_ozbqwruanj,modify
906,0.0,0.0209827255841141,5.49,15.0,0.7912570182077715,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,2.0,0.0,moc,clone,clone,moncnn,modify,container-station,container-station,findAll
901,0.0,0.0209827255841141,5.49,15.0,0.7912570182077715,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,2.0,0.0,moc,clone,clone,moncnn,modify,container-station,container-station,findAll
885,0.0,0.0209827255841141,6.06,15.0,0.8471106006077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,2.0,1.0,1.0,0.0,moncnn,moc,clone,moncnn,findAll,modify,container-seat,modify
890,0.0,0.0209827255841141,6.06,15.0,0.8471106006077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,2.0,1.0,1.0,0.0,moncnn,moc,clone,moncnn,findAll,modify,container-seat,modify
892,0.0,0.0209827255841141,6.06,15.0,0.8471106006077714,train-ticket,1.23,1.23,1.23,1.23,82,0.55,2.0,1.0,1.0,0.0,moncnn,moc,clone,moncnn,findAll,modify,container-seat,modify
902,0.0,0.0209827255841141,5.49,15.0,0.7912570182077715,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,2.0,0.0,moc,clone,clone,moncnn,modify,container-station,container-station,findAll
993,0.0,0.0209827255841141,5.49,14.0,0.7895527926077714,train-ticket,1.23,1.23,1.23,1.23,72,0.95,1.0,1.0,1.0,1.0,moc,mcnn,clone,moncnn,findAll,Station,New-Node_ozbqwruanj,modify
900,0.0,0.0209827255841141,5.49,15.0,0.7912570182077715,train-ticket,1.23,1.23,1.23,1.23,82,0.55,1.0,1.0,2.0,0.0,moc,clone,clone,moncnn,modify,container-station,container-station,findAll
994,0.0,0.0209827255841141,5.49,14.0,0.7895527926077714,train-ticket,1.23,1.23,1.23,1.23,72,0.95,1.0,1.0,1.0,1.0,moc,mcnn,clone,moncnn,findAll,Station,New-Node_ozbqwruanj,modify
876,0.0,0.0209827255841141,6.63,14.0,0.768250140045043,train-ticket,1.23,1.23,1.23,1.23,82,0.55,3.0,1.0,0.0,0.0,moc,moncnn,moncnn,moncnn,modify,findAll,login,modify
