Move_Component_New_Node,Move_Operation_Component,Move_Operation_New_Component_New_Node,UMLCloneNode,perfQ,#changes,reliability
0,0,0,4,-0.020823624423457882,3.69,-0.6579247506077714
0,0,0,4,-0.056888864770036324,4.92,-0.6579247506077714
0,0,0,4,-0.056888864770036324,4.92,-0.6579247506077714
0,0,0,4,-0.056888864770036324,4.92,-0.6579247506077714
0,0,0,4,-0.056888864770036324,4.92,-0.6579247506077714
0,0,0,4,-0.056888864770036324,4.92,-0.6579247506077714
0,0,0,4,-0.056888864770036324,4.92,-0.6579247506077714
0,0,0,4,-0.056888864770036324,4.92,-0.6579247506077714
0,0,0,4,-0.056888864770036324,4.92,-0.6579247506077714
0,0,0,4,-0.056888864770036324,4.92,-0.6579247506077714
0,0,0,4,-0.056888864770036324,4.92,-0.6579247506077714
0,0,0,4,-0.056888864770036324,4.92,-0.6579247506077714
0,0,0,4,-0.056888864770036324,4.92,-0.6579247506077714
0,0,0,4,-0.056888864770036324,4.92,-0.6579247506077714
0,0,0,4,-0.056888864770036324,4.92,-0.6579247506077714
0,0,0,4,-0.056888864770036324,4.92,-0.6579247506077714
0,0,1,3,-0.06657645322348123,6.7200000000000015,-0.7886953206077715
0,0,1,3,-0.06657645322348123,6.7200000000000015,-0.7886953206077715
0,0,1,3,-0.06657645322348123,6.7200000000000015,-0.7886953206077715
0,0,1,3,-0.06657645322348123,6.7200000000000015,-0.7886953206077715
0,0,1,3,-0.06657645322348123,6.7200000000000015,-0.7886953206077715
0,0,1,3,-0.053815526221855085,4.26,-0.7886953206077715
0,0,1,3,-0.053815526221855085,4.26,-0.7886953206077715
0,0,1,3,-0.053815526221855085,4.26,-0.7886953206077715
0,0,1,3,0.038059979906621015,3.69,-0.3023348505627286
0,0,1,3,0.038059979906621015,3.69,-0.3023348505627286
0,0,1,3,-0.0209827255841141,3.03,-0.7886953206077715
0,0,1,3,-0.06657645322348123,7.95,-0.7886953206077715
0,0,1,3,-0.06657645322348123,7.95,-0.7886953206077715
0,0,1,3,-0.06657645322348123,7.95,-0.7886953206077715
0,0,1,3,-0.03066968926281845,4.26,-0.7886953206077715
