Move_Component_New_Node,Move_Operation_Component,Move_Operation_New_Component_New_Node,UMLCloneNode,perfQ,#changes,reliability
0,0,0,4,-0.31353611301017104,4.92,-0.9937137667644232
0,0,0,4,-0.31353611301017104,4.92,-0.9937137667644232
0,0,0,4,-0.31353611301017104,4.92,-0.9937137667644232
0,0,0,4,-0.31353611301017104,4.92,-0.9937137667644232
0,0,0,4,-0.1942002437633148,3.69,-0.9937137667644232
0,0,0,4,-0.09549728119050796,1.23,-0.9937137667644232
0,0,0,4,-0.3598319982919541,6.15,-0.9937137667644232
0,0,0,4,-0.3598319982919541,6.15,-0.9937137667644232
0,0,1,3,-0.14363218441643366,3.69,-0.9580683786745408
0,0,1,3,-0.19306115100383966,4.92,-0.9942645667644232
0,0,1,3,-0.19306115100383966,4.92,-0.9942645667644232
0,0,1,3,-0.19306115100383966,4.92,-0.9942645667644232
0,0,1,3,-0.19306115100383966,4.92,-0.9942645667644232
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.19035948842056288,3.69,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.10353615353532312,2.46,-0.9942645667644232
0,0,1,3,-0.10353615353532312,2.46,-0.9942645667644232
0,0,1,3,-0.10353615353532312,2.46,-0.9942645667644232
0,0,1,3,-0.10353615353532312,2.46,-0.9942645667644232
0,0,1,3,-0.1942044277397085,4.92,-0.9942645667644232
0,0,1,3,-0.10353615353532312,2.46,-0.9942645667644232
0,0,1,3,-0.10353615353532312,2.46,-0.9942645667644232
0,0,1,3,-0.0351606354710006,1.23,-0.9937137574389642
0,0,1,3,-0.0351606354710006,1.23,-0.9937137574389642
0,0,1,3,-0.24153932994113414,11.07,-0.9942645667644232
0,0,1,3,-0.24153932994113414,11.07,-0.9942645667644232
0,0,1,3,-0.24153932994113414,11.07,-0.9942645667644232
0,0,1,3,-0.10780118994881542,2.46,-0.9937137469478228
0,0,1,3,-0.2487604667456121,11.07,-0.9955535694944744
0,0,1,3,-0.2487604667456121,11.07,-0.9955535694944744
0,0,1,3,-0.2487604667456121,11.07,-0.9955535694944744
0,0,1,3,-0.2487604667456121,11.07,-0.9955535694944744
0,0,1,3,-0.2487604667456121,11.07,-0.9955535694944744
0,0,1,3,-0.2487604667456121,11.07,-0.9955535694944744
0,0,1,3,-0.2487604667456121,11.07,-0.9955535694944744
0,0,1,3,-0.2487604667456121,11.07,-0.9955535694944744
0,0,1,3,-0.2487604667456121,11.07,-0.9955535694944744
0,0,1,3,-0.2487604667456121,11.07,-0.9955535694944744
0,0,1,3,-0.2487604667456121,11.07,-0.9955535694944744
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.2890458082433116,6.15,-0.9937133441293986
0,0,1,3,-0.12650390709615306,2.46,-0.9955535694944744
0,0,2,2,-0.2113028942452634,4.92,-0.9686993418745408
0,0,2,2,-0.2113028942452634,4.92,-0.9686993418745408
0,0,2,2,-0.2113028942452634,4.92,-0.9686993418745408
0,0,2,2,-0.2113028942452634,4.92,-0.9686993418745408
0,0,2,2,-0.2113028942452634,4.92,-0.9686993418745408
0,0,2,2,-0.2113028942452634,4.92,-0.9686993418745408
0,0,2,2,-0.2113028942452634,4.92,-0.9686993418745408
0,0,2,2,-0.2113028942452634,4.92,-0.9686993418745408
0,0,2,2,-0.13157333956746045,4.92,-0.9961043694944746
0,0,2,2,-0.2270703104928773,6.15,-0.9961043694944746
0,0,2,2,-0.17162760382530845,11.07,-0.9946684867644232
0,0,2,2,-0.18738367625425956,4.92,-0.9937135831063342
0,0,2,2,-0.18738367625425956,4.92,-0.9937135831063342
0,0,2,2,-0.18738367625425956,4.92,-0.9937135831063342
0,0,2,2,-0.18738367625425956,4.92,-0.9937135831063342
0,0,2,2,-0.18738367625425956,4.92,-0.9937135831063342
0,0,2,2,-0.18738367625425956,4.92,-0.9937135831063342
0,0,2,2,-0.13533720423142126,3.69,-0.9937109155759776
0,0,2,2,-0.08734376748907714,3.69,-0.9961043694944746
0,0,2,2,-0.2050033533176901,6.15,-0.9961043694944746
0,0,3,1,-0.05048595017275849,3.69,-0.9965082894944746
0,0,3,1,-0.05389866226815111,3.69,-0.9962468177702052
0,0,3,1,-0.05048595017275849,3.69,-0.9965082894944746
0,0,3,1,-0.05389866226815111,3.69,-0.9962468177702052
0,0,3,1,-0.11806210555426687,4.92,-0.995926527002702
0,0,3,1,-0.11806210555426687,4.92,-0.995926527002702
0,0,3,1,-0.11806210555426687,4.92,-0.995926527002702
0,0,3,1,-0.11806210555426687,4.92,-0.995926527002702
0,0,3,1,-0.11806210555426687,4.92,-0.995926527002702
0,0,3,1,-0.11806210555426687,4.92,-0.995926527002702
0,0,3,1,-0.11806210555426687,4.92,-0.995926527002702
0,0,3,1,-0.11806210555426687,4.92,-0.995926527002702
0,0,3,1,-0.10928396480478073,4.92,-0.9945170688911632
0,1,0,3,-0.3087747590388895,6.15,-0.9967440300845076
0,1,0,3,-0.3087747590388895,6.15,-0.9967440300845076
0,1,0,3,-0.3087747590388895,6.15,-0.9967440300845076
0,1,0,3,-0.16562789474161346,4.92,-0.9945050234616232
0,1,0,3,-0.16562789474161346,4.92,-0.9945050234616232
0,1,0,3,-0.16562789474161346,4.92,-0.9945050234616232
0,1,0,3,-0.20571272142284466,4.92,-0.996804619766698
0,1,0,3,-0.20571272142284466,4.92,-0.996804619766698
0,1,0,3,-0.20571272142284466,4.92,-0.996804619766698
0,1,0,3,-0.20571272142284466,4.92,-0.996804619766698
0,1,0,3,-0.20571272142284466,4.92,-0.996804619766698
0,1,0,3,-0.3010963193025898,6.15,-0.996804619766698
0,1,0,3,-0.09096541510830056,2.46,-0.996804619766698
0,1,0,3,-0.20571272142284466,4.92,-0.996804619766698
0,1,0,3,-0.20571272142284466,4.92,-0.996804619766698
0,1,0,3,-0.20571272142284466,4.92,-0.996804619766698
0,1,0,3,-0.20571272142284466,4.92,-0.996804619766698
0,1,0,3,-0.20571272142284466,4.92,-0.996804619766698
0,1,0,3,-0.20571272142284466,4.92,-0.996804619766698
0,1,0,3,-0.20571272142284466,4.92,-0.996804619766698
0,1,0,3,-0.09096541510830056,2.46,-0.996804619766698
0,1,0,3,-0.20571272142284466,4.92,-0.996804619766698
0,1,0,3,-0.2275876853618865,4.92,-0.9936178412210116
0,1,0,3,-0.14163343922413274,8.610000000000001,-0.9978141561745408
0,1,0,3,-0.14163343922413274,8.610000000000001,-0.9978141561745408
0,1,0,3,-0.14163343922413274,8.610000000000001,-0.9978141561745408
0,1,0,3,-0.14163343922413274,8.610000000000001,-0.9978141561745408
0,1,0,3,-0.14163343922413274,8.610000000000001,-0.9978141561745408
0,1,0,3,-0.21300758843524614,9.84,-0.9978141561745408
0,1,0,3,-0.2524282093694876,4.92,-0.9413472667644232
0,1,0,3,-0.3091702848951251,6.15,-0.9978330824796396
0,1,0,3,-0.2524282093694876,4.92,-0.9413472667644232
0,1,0,3,-0.3091702848951251,6.15,-0.9978330824796396
0,1,0,3,-0.2524282093694876,4.92,-0.9413472667644232
